a,b,c
2.4602,0.0080623,0.0076663
2.4802,-0.002246,0.0078153
2.5002,-0.011476,0.0071312
2.5202,-0.019216,0.005536
2.5402,-0.02556,0.0033334
2.5602,-0.029267,0.00022358
2.5802,-0.030477,-0.0026124
2.6002,-0.028634,-0.0045564
2.6202,-0.02477,-0.0062442
2.6402,-0.018379,-0.0072612
2.6602,-0.010508,-0.0077924
2.6802,-0.0011082,-0.0076981
2.7002,0.0090663,-0.0070013
2.7202,0.017354,-0.0054676
2.7402,0.02422,-0.0031433
2.7602,0.029011,-0.00031037
2.7802,0.030768,0.0026059
2.8002,0.029587,0.0046639
2.8202,0.025619,0.0062623
2.8402,0.019275,0.0074522
2.8602,0.011325,0.0080866
2.8802,0.0018481,0.0078689
2.9002,-0.0084199,0.0067044
2.9202,-0.016712,0.0047483
2.9402,-0.023447,0.0022358
2.9602,-0.027899,-0.00075571
2.9802,-0.030244,-0.0032603
3.0002,-0.029535,-0.0052322
3.0202,-0.026288,-0.0068098
3.0402,-0.020537,-0.0077322
3.0602,-0.013219,-0.0080746
3.0802,-0.0045233,-0.0077191
3.1002,0.0060091,-0.0067668
3.1202,0.015117,-0.0048246
3.1402,0.022383,-0.0025315
3.1602,0.027912,0.00035863
3.1802,0.030531,0.0031181
3.2002,0.030285,0.0050406
3.2202,0.027491,0.0066442
3.2402,0.021848,0.0078155
3.2602,0.014491,0.0082733
3.2802,0.0050586,0.0078301
3.3002,-0.0054618,0.0063884
3.3202,-0.014168,0.0042533
3.3402,-0.021388,0.0014819
3.3602,-0.02702,-0.001367
3.3802,-0.030206,-0.0036233
3.4002,-0.030416,-0.0055866
3.4202,-0.02783,-0.0070497
3.4402,-0.023019,-0.0078866
3.4602,-0.016047,-0.0081086
3.4802,-0.0077702,-0.0076288
3.5002,0.0026304,-0.0064305
3.5202,0.01222,-0.0042574
3.5402,0.020311,-0.0019893
3.5602,0.02648,0.00088924
3.5802,0.030126,0.0034259
3.6002,0.031212,0.0052483
3.6202,0.02922,0.0068767
3.6402,0.02422,0.0080094
3.6602,0.017155,0.0082537
3.6802,0.0087117,0.007541
3.7002,-0.0018466,0.0058979
3.7202,-0.011289,0.0037418
3.7402,-0.019122,0.00097799
3.7602,-0.025472,-0.001689
3.7802,-0.029196,-0.003789
3.8002,-0.030964,-0.0056763
3.8202,-0.029642,-0.0070678
3.8402,-0.025606,-0.0077914
3.8602,-0.019068,-0.0079249
3.8802,-0.011044,-0.0073226
3.9002,-0.0012966,-0.0058677
3.9202,0.0088649,-0.0037729
3.9402,0.017219,-0.0014796
3.9602,0.024042,0.0012149
3.9802,0.029186,0.0036104
4.0002,0.031433,0.0054269
4.0202,0.030746,0.0070432
4.0402,0.027045,0.00801
4.0602,0.02039,0.0080481
4.0802,0.01219,0.0071076
4.1002,0.0023783,0.0054965
4.1202,-0.0077649,0.0035839
4.1402,-0.016111,0.0011515
4.1602,-0.022982,-0.0013039
4.1802,-0.02788,-0.0033251
4.2002,-0.030915,-0.005137
4.2202,-0.03064,-0.0065553
4.2402,-0.027156,-0.0072324
4.2602,-0.021324,-0.0073211
4.2802,-0.013955,-0.0067369
4.3002,-0.0052774,-0.0054507
4.3202,0.0050588,-0.0037572
4.3402,0.014586,-0.0019256
4.3602,0.022253,0.00040503
4.3802,0.028047,0.0027893
4.4002,0.031376,0.00467
4.4202,0.031761,0.0061467
4.4402,0.028693,0.0069761
4.4602,0.022996,0.0070233
4.4802,0.015601,0.0063971
4.5002,0.006454,0.0051527
4.5202,-0.0042003,0.0037091
4.5402,-0.013238,0.0017496
4.5602,-0.020773,-0.000475
4.5802,-0.026772,-0.0026801
4.6002,-0.030546,-0.0043575
4.6202,-0.031179,-0.0057319
4.6402,-0.028613,-0.0064213
4.6602,-0.024065,-0.0064701
4.6802,-0.017126,-0.0059846
4.7002,-0.009038,-0.0050189
4.7202,0.00121,-0.0037728
4.7402,0.011113,-0.0023146
4.7602,0.019608,-0.00020343
4.7802,0.026175,0.0020892
4.8002,0.030713,0.0039479
4.8202,0.031884,0.0051406
4.8402,0.029944,0.005855
4.8602,0.025322,0.0059581
4.8802,0.018219,0.0055999
4.9002,0.010102,0.0049468
4.9202,-3.295e-05,0.0038543
4.9402,-0.010268,0.0022844
4.9602,-0.018411,0.00014874
4.9802,-0.025097,-0.001923
5.0002,-0.029384,-0.0033541
5.0202,-0.031371,-0.0043669
5.0402,-0.030334,-0.0051062
5.0602,-0.026414,-0.0053543
5.0802,-0.020257,-0.005245
5.1002,-0.012507,-0.0047208
5.1202,-0.003207,-0.0037799
5.1402,0.0075762,-0.0026009
5.1602,0.016423,-0.00077716
5.1802,0.023657,0.00096529
5.2002,0.029156,0.0025662
5.2202,0.031757,0.0036318
5.2402,0.031469,0.0043471
5.2602,0.027946,0.0047814
5.2802,0.021799,0.0048991
5.3002,0.014032,0.0045814
5.3202,0.0041295,0.0038097
5.3402,-0.006475,0.0025465
5.3602,-0.015151,0.00089877
5.3802,-0.022229,-0.00055542
5.4002,-0.02759,-0.0019291
5.4202,-0.030706,-0.0028419
5.4402,-0.030756,-0.0035021
5.4602,-0.027686,-0.0039822
5.4802,-0.022321,-0.0041526
5.5002,-0.015114,-0.0038741
5.5202,-0.0066269,-0.0032536
5.5402,0.0038442,-0.0023334
5.5602,0.013389,-0.00094861
5.5802,0.021181,0.00023628
5.6002,0.027105,0.0013217
5.6202,0.030699,0.0021911
5.6402,0.031584,0.0029139
5.6602,0.02901,0.0034972
5.6802,0.023574,0.0037217
5.7002,0.016401,0.0035007
5.7202,0.0075717,0.0029287
5.7402,-0.0030547,0.0019479
5.7602,-0.012175,0.00091701
5.7802,-0.019813,3.3765e-05
5.8002,-0.026092,-0.00071502
5.8202,-0.029895,-0.0015424
5.8402,-0.031184,-0.0022214
5.8602,-0.029172,-0.0027047
5.8802,-0.024808,-0.0029287
5.9002,-0.018145,-0.0027966
5.9202,-0.010092,-0.0023416
5.9402,-0.00018809,-0.0016725
5.9602,0.0098147,-0.00079909
5.9802,0.018099,-0.00019334
6.0002,0.024934,0.00038563
6.0202,0.029817,0.00091417
6.0402,0.031693,0.0014944
6.0602,0.030231,0.0020579
6.0802,0.026088,0.0023303
6.1002,0.019188,0.002185
6.1202,0.011131,0.0017259
6.1402,0.0013778,0.0012166
6.1602,-0.0088051,0.00080817
6.1802,-0.017187,0.00046099
6.2002,-0.02404,7.166e-05
6.2202,-0.028589,-0.00036505
6.2402,-0.031228,-0.00087548
6.2602,-0.030516,-0.0013881
6.2802,-0.027008,-0.0015457
6.3002,-0.021002,-0.0014368
6.3202,-0.013512,-0.0011261
6.3402,-0.0047178,-0.00083724
6.3602,0.005891,-0.00064558
6.3802,0.01527,-0.00041075
6.4002,0.022584,-0.00012172
6.4202,0.028287,0.00030975
6.4402,0.031258,0.00076054
6.4602,0.031545,0.0010677
6.4802,0.028395,0.0010985
6.5002,0.022473,0.0010211
6.5202,0.015076,0.00085602
6.5402,0.0056703,0.00070423
6.5602,-0.0049662,0.00045592
6.5802,-0.013846,0.00020513
6.6002,-0.021067,-3.8118e-05
6.6202,-0.026839,-0.00030604
6.6402,-0.030176,-0.0005546
6.6602,-0.030912,-0.00067498
6.6802,-0.02828,-0.00073596
6.7002,-0.023458,-0.00064099
6.7202,-0.016531,-0.00051619
6.7402,-0.0082694,-0.00037723
6.7602,0.0020728,-0.00022437
6.7802,0.011698,-7.5283e-05
6.8002,0.019847,9.0843e-05
6.8202,0.026081,0.00023371
6.8402,0.03021,0.00033937
6.8602,0.031796,0.00038245
6.8802,0.029642,0.00030254
6.9002,0.024776,0.00022251
6.9202,0.017569,0.00014329
6.9402,0.0093619,6.578e-05
6.9602,-0.0009207,-1.5587e-05
6.9802,-0.010668,-9.777e-05
